date,CL.CDN.MOST.1DL,AVG.INTWO,TB.CDN.30D.MID,TB.CDN.60D.MID,TB.CDN.90D.MID,TB.CDN.180D.MID,TB.CDN.1Y.MID
2009-05-26,0.2452,0.2419,0.14,0.17,0.19,0.31,0.47
2009-05-27,0.2443,0.2365,0.16,0.17,0.2,0.32,0.49
2009-05-28,0.2443,0.2419,0.17,0.17,0.19,0.3,0.5
2009-05-29,0.2476,0.2488,0.17,0.19,0.2,0.32,0.5
2009-06-01,0.2515,0.2577,0.17,0.19,0.2,0.32,0.5
2009-06-02,0.2484,0.254,0.17,0.19,0.2,0.3,0.51
2009-06-03,0.2477,0.2459,0.17,0.18,0.2,0.32,0.5
2009-06-04,0.2449,0.2429,0.17,0.19,0.21,0.32,0.5
2009-06-05,0.2453,0.2392,0.18,0.18,0.22,0.34,0.54
2009-06-08,0.2443,0.2433,0.17,0.18,0.21,0.35,0.56
2009-06-09,0.2451,0.2458,0.16,0.19,0.23,0.37,0.58
2009-06-10,0.2453,0.2488,0.2,0.2,0.23,0.37,0.61
2009-06-11,0.2442,0.2467,0.21,0.21,0.24,0.37,0.6
2009-06-12,0.2477,0.2413,0.2,0.21,0.24,0.38,0.58
2009-06-15,0.2486,0.2466,0.19,0.21,0.23,0.36,0.59
2009-06-16,0.244,0.2357,0.18,0.2,0.23,0.35,0.57
2009-06-17,0.2428,0.23,0.18,0.2,0.23,0.36,0.56
2009-06-18,0.2426,0.2357,0.19,0.21,0.23,0.35,0.58
2009-06-19,0.2413,0.2408,0.2,0.21,0.23,0.35,0.57
2009-06-22,0.2425,0.2372,0.19,0.21,0.24,0.35,0.55
2009-06-23,0.2398,0.2384,0.19,0.21,0.25,0.36,0.57
2009-06-24,0.2396,0.2378,0.17,0.2,0.24,0.36,0.55
2009-06-25,0.2404,0.2395,0.15,0.18,0.24,0.34,0.52
2009-06-26,0.2404,0.2404,0.17,0.18,0.24,0.33,0.5
2009-06-29,0.236,0.2203,0.17,0.18,0.23,0.33,0.5
2009-06-30,0.2483,0.2422,0.18,0.19,0.24,0.31,0.51
2009-07-02,0.2482,0.2504,0.19,0.18,0.22,0.31,0.5
2009-07-03,0.2394,0.2417,0.17,0.18,0.22,0.3,0.5
2009-07-06,0.2453,0.2435,0.17,0.18,0.22,0.3,0.51
2009-07-07,0.2452,0.2434,0.17,0.18,0.25,0.34,0.56
2009-07-08,0.2464,0.2396,0.15,0.18,0.24,0.34,0.55
2009-07-09,0.2437,0.2423,0.18,0.18,0.23,0.32,0.55
2009-07-10,0.2385,0.2261,0.17,0.18,0.23,0.32,0.55
2009-07-13,0.2453,0.2258,0.17,0.18,0.23,0.33,0.56
2009-07-14,0.245,0.2303,0.18,0.18,0.24,0.35,0.59
2009-07-15,0.2363,0.2322,0.16,0.17,0.22,0.34,0.59
2009-07-16,0.2406,0.2335,0.17,0.17,0.22,0.32,0.58
2009-07-17,0.2349,0.232,0.16,0.17,0.21,0.32,0.58
2009-07-20,0.2349,0.2329,0.17,0.18,0.22,0.34,0.57
2009-07-21,0.2373,0.2322,0.16,0.17,0.23,0.33,0.58
2009-07-22,0.2421,0.2325,0.18,0.19,0.24,0.31,0.58
2009-07-23,0.2415,0.23,0.17,0.19,0.24,0.32,0.61
2009-07-24,0.2414,0.2354,0.17,0.19,0.24,0.3,0.61
2009-07-27,0.2422,0.2392,0.17,0.19,0.24,0.31,0.62
2009-07-28,0.2405,0.2376,0.17,0.2,0.24,0.31,0.61
2009-07-29,0.2432,0.2422,0.18,0.21,0.23,0.32,0.59
2009-07-30,0.2281,0.2376,0.18,0.2,0.24,0.32,0.61
2009-07-31,0.2461,0.25,0.19,0.19,0.24,0.31,0.6
2009-08-04,0.2401,0.238,0.18,0.2,0.27,0.35,0.65
2009-08-05,0.2469,0.232,0.17,0.2,0.26,0.36,0.66
2009-08-06,0.2391,0.2368,0.17,0.22,0.25,0.35,0.64
2009-08-07,0.2389,0.2325,0.14,0.22,0.26,0.35,0.66
2009-08-10,0.2364,0.2354,0.15,0.22,0.25,0.35,0.63
2009-08-11,0.2354,0.234,0.14,0.21,0.24,0.34,0.59
2009-08-12,0.2379,0.23,0.14,0.21,0.23,0.32,0.57
2009-08-13,0.235,0.229,0.14,0.2,0.23,0.33,0.57
2009-08-14,0.2293,0.2168,0.15,0.21,0.22,0.32,0.56
2009-08-17,0.2364,0.2362,0.13,0.2,0.22,0.32,0.55
2009-08-18,0.2362,0.2321,0.09,0.19,0.23,0.33,0.56
2009-08-19,0.2455,0.2451,0.08,0.16,0.22,0.34,0.57
